;DOY;DATE;Q_glacier(m3/s);Q_lake(m3/s);Q_lake_offgl(m3/s);cumQ_lake(m3);cumQ_lake_offgl(m3);Vlake_meas(m3)
;155;2019,4247;3,0242;0,6392;0,2589;299455;111797;944412
;156;2019,4274;2,5304;0,5281;0,2118;345084;130097;944412
;157;2019,4302;0,0763;0,0011;0,0003;345179;130124;944412
;158;2019,4329;1,5061;0,2979;0,1143;370918;140001;944412
;159;2019,4357;1,0072;0,1858;0,0668;386972;145776;944412
;160;2019,4384;2,6336;0,5230;0,1957;432157;162689;944412
;161;2019,4410;4,1180;0,4635;0,1108;472207;172259;944412
;162;2019,4438;0,0005;0,0000;0,0000;472207;172259;944412
;163;2019,4465;0,2021;0,0171;0,0033;473683;172546;944412
;164;2019,4493;1,2324;0,2361;0,0881;494081;180160;944412
;165;2019,4520;2,4926;0,5188;0,2079;538903;198123;944412
;166;2019,4548;3,0923;0,6621;0,2757;596107;221947;944412
;167;2019,4575;1,1399;0,2152;0,0793;614704;228798;944412
;168;2019,4603;2,3383;0,4841;0,1932;656528;245491;944412
;169;2019,4630;2,6159;0,5466;0,2200;703758;264499;944412
;170;2019,4657;3,0730;0,6516;0,2663;760054;287510;944412
;171;2019,4685;2,2674;0,4717;0,1908;800809;303995;944412
;172;2019,4712;7,8260;1,7285;0,7366;950149;367633;944412
;173;2019,4740;1,5024;0,2937;0,1114;975523;377256;944412
;174;2019,4767;2,2747;0,4698;0,1872;1016112;393426;944412
;175;2019,4795;3,5655;0,7594;0,3099;1081721;420198;944412
;176;2019,4822;4,5713;0,9851;0,4055;1166829;455233;944412
;177;2019,4850;4,8202;1,0410;0,4292;1256768;492313;944412
;178;2019,4877;5,0366;1,0896;0,4498;1350911;531176;944412
;179;2019,4904;4,6239;0,9971;0,4106;1437062;566652;944412
;180;2019,4932;4,3056;0,9258;0,3804;1517054;599517;944412
;181;2019,4958;5,5609;1,2139;0,5074;1621935;643359;944412
;182;2019,4987;8,9505;1,9992;0,8598;1794668;717648;944412
;183;2019,5013;5,2103;1,1456;0,4867;1893652;759702;944412
;184;2019,5042;4,6820;1,0252;0,4341;1982228;797207;944412
;185;2019,5068;2,5720;0,5373;0,2158;2028653;815850;944412
;186;2019,5096;3,1906;0,6764;0,2747;2087090;839582;944412
;187;2019,5123;3,2072;0,6808;0,2769;2145908;863510;944412
;188;2019,5150;3,8407;0,8309;0,3469;2217694;893480;944412
;189;2019,5178;2,5227;0,5268;0,2113;2263212;911739;944412
;190;2019,5205;2,2703;0,4703;0,1874;2303845;927930;944412
;191;2019,5233;1,9570;0,4001;0,1577;2338411;941553;944412
;192;2019,5260;1,8295;0,3716;0,1456;2370513;954132;944412
;193;2019,5288;2,1934;0,4535;0,1803;2409700;969711;944412
;194;2019,5315;2,0042;0,4112;0,1624;2445226;983741;944412
;195;2019,5343;4,5034;0,9890;0,4209;2530680;1020103;0
;196;2019,5370;0,8060;0,1420;0,0485;2542947;1024289;0
;197;2019,5397;1,9271;0,3944;0,1553;2577026;1037708;0
;198;2019,5425;2,4361;0,5092;0,2039;2621021;1055324;0
;199;2019,5452;2,3682;0,4942;0,1975;2663719;1072391;0
;200;2019,5480;2,6014;0,5469;0,2198;2710973;1091385;0
;201;2019,5507;4,0081;0,8683;0,3598;2785991;1122473;0
;202;2019,5535;3,0322;0,6445;0,2611;2841680;1145033;0
;203;2019,5562;3,4385;0,7365;0,3000;2905310;1170952;0
;204;2019,5590;4,0194;0,8678;0,3555;2980290;1201670;0
;205;2019,5616;4,3000;0,9315;0,3824;3060770;1234711;0
;206;2019,5643;4,2245;0,9149;0,3754;3139821;1267148;0
;207;2019,5671;8,9803;2,0154;0,8689;3313948;1342223;0
;208;2019,5698;2,5582;0,5426;0,2214;3360833;1361354;0
;209;2019,5726;1,5676;0,3127;0,1201;3387848;1371735;0
;210;2019,5753;1,6956;0,3448;0,1344;3417640;1383350;0
