Date_Time;Lake Elevation
2019-06-22T15:10:00.0;2726.63
2019-06-22T15:20:00.0;2726.63
2019-06-22T15:30:00.0;2726.63
2019-06-22T15:40:00.0;2726.63
2019-06-22T15:50:00.0;2726.63
2019-06-22T16:00:00.0;2726.63
2019-06-22T16:10:00.0;2726.64
2019-06-22T16:20:00.0;2726.64
2019-06-22T16:30:00.0;2726.64
2019-06-22T16:40:00.0;2726.64
2019-06-22T16:50:00.0;2726.64
2019-06-22T17:00:00.0;2726.64
2019-06-22T17:10:00.0;2726.64
2019-06-22T17:20:00.0;2726.65
2019-06-22T17:30:00.0;2726.65
2019-06-22T17:40:00.0;2726.65
2019-06-22T17:50:00.0;2726.65
2019-06-22T18:00:00.0;2726.65
2019-06-22T18:10:00.0;2726.65
2019-06-22T18:20:00.0;2726.66
2019-06-22T18:30:00.0;2726.66
2019-06-22T18:40:00.0;2726.66
2019-06-22T18:50:00.0;2726.66
2019-06-22T19:00:00.0;2726.67
2019-06-22T19:10:00.0;2726.67
2019-06-22T19:20:00.0;2726.67
2019-06-22T19:30:00.0;2726.68
2019-06-22T19:40:00.0;2726.68
2019-06-22T19:50:00.0;2726.68
2019-06-22T20:00:00.0;2726.69
2019-06-22T20:10:00.0;2726.69
2019-06-22T20:20:00.0;2726.69
2019-06-22T20:30:00.0;2726.69
2019-06-22T20:40:00.0;2726.7
2019-06-22T20:50:00.0;2726.7
2019-06-22T21:00:00.0;2726.7
2019-06-22T21:10:00.0;2726.7
2019-06-22T21:20:00.0;2726.7
2019-06-22T21:30:00.0;2726.7
2019-06-22T21:40:00.0;2726.7
2019-06-22T21:50:00.0;2726.7
2019-06-22T22:00:00.0;2726.7
2019-06-22T22:10:00.0;2726.7
2019-06-22T22:20:00.0;2726.7
2019-06-22T22:30:00.0;2726.7
2019-06-22T22:40:00.0;2726.7
2019-06-22T22:50:00.0;2726.7
2019-06-22T23:00:00.0;2726.7
2019-06-22T23:10:00.0;2726.7
2019-06-22T23:20:00.0;2726.7
2019-06-22T23:30:00.0;2726.7
2019-06-22T23:40:00.0;2726.7
