Stationsnummer: 2219
Stationsname: Oberried / Lenk
DBLH-Nr: 00735
Gewässer: Simme
Exportperiode: 1974-01-01 - 2026-05-16
Parameter: Abfluss
Parametereinheit: m3/s
Zeitreihe: Tagesmaxima
Stationsname;Stationsnummer;Parameter;Zeitreihe;Parametereinheit;Gewässer;Zeitstempel;Zeitpunkt_des_Auftretens;Wert;Freigabestatus
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-11 00:00:00;1974-05-11 21:21:35;1.414;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-12 00:00:00;1974-05-12 00:00:00;1.334;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-13 00:00:00;1974-05-14 00:00:00;1.199;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-14 00:00:00;1974-05-14 21:04:15;1.621;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-15 00:00:00;1974-05-15 23:09:35;1.581;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-16 00:00:00;1974-05-16 22:06:10;1.766;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-17 00:00:00;1974-05-17 00:00:00;1.714;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-18 00:00:00;1974-05-18 22:07:40;1.740;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-19 00:00:00;1974-05-19 22:50:50;1.773;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-20 00:00:00;1974-05-20 20:32:35;1.770;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-21 00:00:00;1974-05-22 00:00:00;2.116;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-22 00:00:00;1974-05-22 00:48:55;2.120;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-23 00:00:00;1974-05-23 00:00:00;1.921;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-24 00:00:00;1974-05-24 00:00:00;1.568;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-25 00:00:00;1974-05-25 00:00:00;1.305;Freigegeben, validierte Daten
Oberried / Lenk;2219;Abfluss;Tagesmaxima;m3/s;Simme;1974-05-26 00:00:00;1974-05-26 18:24:25;1.165;Freigegeben, validierte Daten
